出現時間,出現位置X,出現位置Y,敵パターン,敵レベル
100,2000,100,1,1
120,2000,120,1,1
130,2000,130,1,1
140,2000,180,1,1
150,2000,100,1,1
150,2000,400,1,1
160,2000,420,1,1
170,2000,440,1,1
180,2000,410,1,1
190,2000,400,1,1
200,2000,220,1,1
210,2000,290,1,1
220,2000,230,1,1
230,2000,220,1,1
240,2000,229,1,1
250,2000,560,1,1
260,2000,550,1,1
270,2000,570,1,1
280,2000,510,1,1
290,2000,540,1,1
300,2000,610,1,1
310,2000,620,1,1
320,2000,620,1,1
330,2000,640,1,1
340,2000,650,1,1
350,2000,640,1,1
360,2000,690,1,1
370,2000,670,1,1
